date,SPY_BH,60_40,FRAR,FRAR_Net,FRAR_Quad,FRAR_Quad_Net
2022-07-08,4.234757439515404,3.4358214572958383,4.709266132755178,4.518363273479986,5.915244773351951,5.478455067631618
2022-07-11,4.186381595371839,3.435971636532971,4.755958179843796,4.563117084772728,5.973894015019774,5.532671424366696
2022-07-12,4.149336539664339,3.4258953678676547,4.769900166087864,4.576448181650597,5.991406353234585,5.5487878854729535
2022-07-13,4.127545515146339,3.430812612419902,4.807954013127467,4.612912742514368,6.039205269979019,5.592952372515274
2022-07-14,4.117521776457195,3.414617704209246,4.766849637348465,4.5734302723987055,5.987574625811881,5.545034480061197
2022-07-15,4.196187608742756,3.4614465112875683,4.7832367758074685,4.589106781412514,6.0081582862777,5.563994083740924
2022-07-18,4.16153892721087,3.429872593913755,4.755032894195763,4.562002131991822,5.972731776373858,5.531084428043753
2022-07-19,4.2739807951615125,3.4780750790623127,4.737932541102133,4.545550696227101,5.951252256761237,5.511091441961393
2022-07-20,4.301219837498096,3.4950260712585606,4.733846675561793,4.541585502874556,5.946120056944793,5.506237167728158
2022-07-21,4.3450199607711015,3.540532719579351,4.804267384637429,4.609100229340551,6.034574546360469,5.58804479112388
2022-07-22,4.30470693177752,3.5446310035202946,4.863553318434114,4.665931277492325,6.109042796856,5.656898307207082
2022-07-25,4.309935479683982,3.5333408954134113,4.831915269880446,4.635532617663263,6.069302676830835,5.619995688554803
2022-07-26,4.258944838209018,3.5093425498551825,4.833179086200512,4.636698888889102,6.070890139223276,5.621361849303693
2022-07-27,4.369534994198394,3.5561314710309784,4.832377951851815,4.635884150629301,6.069883845326246,5.620326304371398
2022-07-28,4.424339317930123,3.5942174376868454,4.877735015623104,4.679350303936381,6.1268562327098275,5.672974375187196
2022-07-29,4.488840443454876,3.6217497615107668,4.874406397009837,4.6761104926103,6.122675200400428,5.668998414527221
2022-08-01,4.475547684723314,3.650204474984729,4.947179836625508,4.74587616586654,6.214084922465465,5.753528654133778
2022-08-02,4.446021479789009,3.6048611434806443,4.868444226774546,4.670297839831454,6.115186199921811,5.661855269981302
2022-08-03,4.515643686236227,3.661433725880021,4.915174603557503,4.715079322812173,6.173883586994398,5.716095771156367
2022-08-04,4.5125934382683734,3.6594590983604705,4.938084430039174,4.737009318046323,6.202660306664479,5.742632701765661
2022-08-05,4.504966073754844,3.620904477619255,4.846780585955936,4.649376992033467,6.087974797017069,5.63634891856699
2022-08-08,4.4997361301732655,3.6417613948933645,4.902671327355641,4.702944530357447,6.158178392784112,5.70123932460125
2022-08-09,4.481867301652365,3.6274219345429772,4.891767141499903,4.692437827987566,6.144481794084332,5.6884539971040775
2022-08-10,4.576004192608094,3.6636598381759806,4.874182975523657,4.675523613398884,6.122394563727722,5.667901382820479
2022-08-11,4.576004192608094,3.6295002404779684,4.805095865948749,4.60920641333781,6.035615190403184,5.587460880048711
2022-08-12,4.653471139968289,3.681089032910408,4.844023861801263,4.6465011530316165,6.084512113514414,5.63262313593381
2022-08-15,4.672647716073668,3.6889164211252736,4.83408837972465,4.636924623612356,6.072032290381116,5.620966397980952
2022-08-16,4.681799855652345,3.699386525558201,4.840772427911722,4.643289809661304,6.08042803188071,5.628634537961128
2022-08-17,4.648568482201609,3.668186681203733,4.799460092135491,4.603616988293692,6.028536172005647,5.5804953660254615
2022-08-18,4.6620793151701765,3.6767579240396957,4.803296171934238,4.607250649206572,6.0333546193687875,5.584852597708413
2022-08-19,4.5994302505254705,3.62343115718677,4.74518471622595,4.551465669195258,5.960361614734917,5.51718382122541
2022-08-22,4.503658326170363,3.573289513948059,4.724659044509984,4.531732809926419,5.9345795992542225,5.493217389448528
2022-08-23,4.492763337289532,3.5602368207066593,4.714791306855288,4.522222970547592,5.922184868962647,5.481643267762605
2022-08-24,4.507145420449787,3.556652188392842,4.695593363527031,4.50376428137895,5.8980705949483365,5.459222025711099
2022-08-25,4.570775295782854,3.6066056988164585,4.740216074597413,4.546518738900229,5.9541205719492,5.510999834022757
2022-08-26,4.416058777461912,3.54423108799147,4.744887065879528,4.550953535507039,5.959987740206207,5.516328509184925
2022-08-29,4.386858811586168,3.518441299441029,4.717749706237541,4.524880270563476,5.925900873960039,5.484677797130694
2022-08-30,4.338700343842051,3.498763357346636,4.715322500961812,4.522507250741097,5.92285209461388,5.481754814599091
2022-08-31,4.305686695709543,3.4694098008311554,4.679635535585042,4.488234867233892,5.878026185550587,5.4401668236972505
2022-09-01,4.319197179759332,3.4505341160101035,4.617410004645676,4.428510301500327,5.799865547293604,5.367729340312409
2022-09-02,4.273654556102952,3.436511772283755,4.646361663043461,4.456233155742857,5.836231329389927,5.401285862186969
2022-09-06,4.257529623640543,3.394684720537018,4.567861502393784,4.380901578949723,5.7376283513674,5.309933243575146
2022-09-07,4.334015411393599,3.452750942558179,4.622233493591051,4.4330040047632195,5.805924265779484,5.373039036102011
2022-09-08,4.362343080321319,3.452125128616588,4.5878507806481945,4.399985062308426,5.762736610358128,5.3329729604961456
2022-09-09,4.430113574807268,3.4873701546891676,4.597932497871412,4.40961002978545,5.775400117458789,5.344593396965873
2022-09-12,4.4777263335807005,3.4983954722054684,4.580379927332014,4.392732628550078,5.753352573698224,5.32409215995321
2022-09-13,4.283024769918636,3.410381501508617,4.566052962486375,4.37894899253258,5.735356669127934,5.307340953314785
2022-09-14,4.299367776618051,3.4228773777432346,4.571077879946206,4.383724342557607,5.741668399215569,5.313083563121189
2022-09-15,4.250556132919253,3.398674141739734,4.547808377558609,4.361365143192711,5.712439895559903,5.285939220856722
2022-09-16,4.218128319417038,3.3717847813267574,4.535007837302549,4.349046062386132,5.696361312037285,5.270963778683718
2022-09-19,4.250840850643089,3.3906228608420554,4.537139690194438,4.35104716183604,5.699039103294099,5.273344238108983
2022-09-20,4.202046652883252,3.3537492328698866,4.500906264078581,4.316256875081791,5.653526792371236,5.231134932026075
2022-09-21,4.128746842503161,3.3411219074083145,4.548172561684666,4.36154063632959,5.712897342259126,5.285972140249915
2022-09-22,4.094066060443588,3.2901386105143398,4.4689791524971545,4.285554205269317,5.61342358423087,5.193836173188796
2022-09-23,4.025470721963585,3.262439091315465,4.464328522163288,4.281051817673888,5.607581991082448,5.188335434381658
2022-09-26,3.985647923854794,3.2181350616958215,4.38901128550193,4.208784705677243,5.512977040343816,5.100709379732502
2022-09-27,3.975473801171811,3.1793117726075,4.324038377445175,4.146438491964423,5.431365459269857,5.02510804527509
2022-09-28,4.053695808770216,3.2594255227036717,4.4436242223727245,4.261070185723705,5.581575603320626,5.163987373201457
2022-09-29,3.969018454837648,3.2118255031323106,4.425747033327093,4.243885163909793,5.559120310694698,5.143117130695221
2022-09-30,3.907643990493396,3.165439594614706,4.3937857116483645,4.213195228085372,5.518974131719055,5.105880927089275
2022-10-03,4.010810550536299,3.23570149444092,4.465700387958713,4.282111466321859,5.609305172942926,5.189354915845563
2022-10-04,4.135092279421873,3.292244924056175,4.475024720984814,4.291009730625511,5.621017340113518,5.200094226335921
2022-10-05,4.125463865709575,3.2750534095381063,4.435958749644267,4.253507805680493,5.571947107879076,5.154603394017534
2022-10-06,4.082906940046895,3.2475017225027965,4.4153017855140035,4.23365829641904,5.546000177792673,5.130505191277647
2022-10-07,3.969018454837648,3.1805392084558712,4.3776823519572385,4.1975447028912045,5.498746921881879,5.086698140976121
2022-10-10,3.938714509944484,3.146191203769231,4.322621645845101,4.144708414810338,5.429585922085858,5.0226269942161
2022-10-11,3.913769957499985,3.139805951837644,4.333696216328362,4.15528578570939,5.443496538585653,5.035402016034306
2022-10-12,3.900861009425554,3.139754584628546,4.353211338333652,4.1739559341919446,5.468009216397637,5.057983616749994
2022-10-13,4.003808448475114,3.1774565156132475,4.3208742462689385,4.14290914844295,5.427391037380159,5.0203185572209374
2022-10-14,3.912566885549269,3.1235243258657426,4.285036562804022,4.108506602605022,5.382375813387951,4.978587709895769
2022-10-17,4.013108180697397,3.165599626066671,4.2784319620478195,4.102133234586193,5.374079864719544,4.970822354471274
2022-10-18,4.0602603666822725,3.19088514005585,4.288552495500817,4.1117957852402345,5.3867921283554825,4.982488733931622
2022-10-19,4.0314874773922815,3.1540809633710083,4.224561515917966,4.050401913144754,5.306413934206221,4.908052677535189
2022-10-20,3.997681783630967,3.116646858554876,4.177644213783112,4.0053789073122505,5.247481752755987,4.853455026798104
2022-10-21,4.094832286082733,3.13962245398932,4.1577253003596315,3.9862416492944943,5.222461878066901,4.830224686073329
2022-10-24,4.14493806953362,3.1522936486098305,4.136239415410594,3.965602444603677,5.195473751878484,4.805174810663007
